路径,长度,危险系数
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 大雁塔,16.026,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,16.751,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,15.460,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 大雁塔,14.834,16.160
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,15.933,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 大雁塔,15.306,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,16.031,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,12.933,21.983
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,12.921,17.116
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 大雁塔,16.849,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,15.657,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 大雁塔,16.234,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,13.849,21.984
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,12.558,19.420
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,12.490,14.552
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,16.000,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 小寨村小区-> 大雁塔,15.931,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,16.754,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,15.749,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 大雁塔,15.122,18.191
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,15.797,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 陕西师范大学-> 大雁塔,15.170,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,15.994,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,12.895,21.984
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,12.827,17.116
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 大雁塔,16.657,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,15.847,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 大雁塔,16.098,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,13.755,21.984
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,12.749,21.451
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,12.737,16.583
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,16.852,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 大雁塔,16.421,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,16.893,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 大雁塔,16.804,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,15.611,20.495
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 大雁塔,17.054,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 大雁塔,15.862,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 大雁塔,16.334,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 大雁塔,13.950,21.983
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,13.519,19.420
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 小寨村小区-> 大雁塔,16.998,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 大雁塔,16.188,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 陕西师范大学-> 大雁塔,16.237,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 大雁塔,13.893,21.984
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,13.804,21.451
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,12.513,18.887
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,13.174,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,13.162,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,14.090,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,12.799,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,12.731,16.160
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,13.136,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,13.068,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,13.995,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,12.990,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,12.978,18.191
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 大雁塔,14.191,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,13.759,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 大雁塔,14.134,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,14.045,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,12.754,20.495
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,15.195,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.183,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,16.250,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,14.959,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,15.296,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,11.904,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,11.892,18.538
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.212,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,12.820,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,11.529,20.842
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 大雁塔,11.460,15.974
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,15.293,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.224,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,16.253,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,15.247,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,15.431,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,12.001,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,11.933,18.538
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,16.291,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,12.860,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,11.855,22.872
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,11.843,18.005
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,16.145,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.714,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,16.051,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.961,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.007,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 大雁塔,12.715,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,12.284,20.842
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.950,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 大雁塔,12.658,23.405
